Service,EC2-Other($),EC2_Instances,Tax($),EC2_ELB,S3,CloudWatch($),CloudFront($),SQS,Route_53,DynamoDB($),EMR($),SNS,Key Management Service($),CloudTrail($),QuickSight($),Glue($),Total cost ($)
2018-06-01,77.525922396,48.7150118977,802.26,27.8167330844,7.0547169692,1.0579006345,0.1814811158,0.443402474,0.539426,0,,0.0006125785,0,0,0,,965.5952071501
2018-06-02,75.6354729009,44.1356833494,,27.1004080617,6.9100504129,1.1000445456,0.087463756,0.3655874783,0.0359084,0,,0.0006732992,,0,0,,155.371292204
2018-06-03,75.184149765,42.7462828098,,26.7859842591,6.8874465155,1.1329429882,0.0924700903,0.3411145724,0.0329592,0,,0.0003945308,,0,0,,153.2037447311
2018-06-04,76.7076343633,54.5243897235,5.42,26.4464384854,6.9715007961,1.1419849087,0.1710575802,0.3975707832,0.0387652,0,,0.0007978469,0,0,0,,171.8201396873
2018-06-05,77.5759206969,57.9842597663,4.56,27.1980091818,6.8467666151,1.0828251244,0.0853973765,0.4438971909,0.0434168,0,,0.0071599224,0,0,0,,175.8276526743
2018-06-06,77.0077988674,58.5887596605,0.82,26.8386113571,6.7745926441,1.0698225833,0.10662981,0.4031856547,0.040352,0,,0.0007426663,,0,0,,171.6504952434
2018-06-07,77.2063406692,61.5305995277,,27.3046877442,6.7765790557,1.0833055654,0.1527719609,0.4259266113,0.0415064,0,,0.0006297006,,0,0,,174.522347235
2018-06-08,77.761379114,60.7431112757,,27.0426298182,6.8726975743,1.0709204946,0.1214303333,0.4019496871,0.0437992,0,,0.0017572052,,0,0,,174.0596747024
2018-06-09,75.9700058913,46.4973226055,,26.7174338758,6.9352365716,1.2275053826,0.0621547728,0.3385930365,0.0357764,0,,0.0004865061,,0,0,,157.7845150422
2018-06-10,75.9697747384,45.4894674373,,26.1618387282,11.4856325809,1.233120347,0.0439417144,0.3150744151,0.034744,0,,0.0002979328,,0,0,,160.7338918941
2018-06-11,78.4177761431,54.925697238,7.94,26.5750297791,9.8977988775,1.7019559876,0.2700746259,0.4300593502,0.0430112,0,,0.001186806,0,0,0,0,180.2025900074
2018-06-12,78.6340602685,54.4511893598,,26.919989007,7.3360669856,1.7282917555,0.8971051305,0.4672061704,0.044082,0,,0.0058192443,,0,0,,170.4838099216
2018-06-13,78.6422409242,53.2156814657,,26.561746268,7.457984288,1.6921512805,0.8172349603,0.462377041,0.0446996,0,,0.0010805527,,0,0,,168.8951963804
2018-06-14,80.1348642192,59.5516152379,,26.8032774942,8.781675279,1.6545211191,0.8686625072,0.5285524564,0.0495372,0,0.33045876,0.0017978165,0,0,0,,178.7049620895
2018-06-15,78.5585570595,62.9881275542,,25.5473422433,11.8045046656,1.6378484826,0.8459540186,0.4711640612,0.0407148,0,,0.0018835293,,0,0,,181.8960964143
2018-06-16,76.3035585012,49.8807006994,,25.0522021085,10.375108321,1.5009172555,0.5893642297,0.3656854504,0.0330804,0,,0.000276393,,0,0,,164.1008933587
2018-06-17,76.34472462,45.6593139816,,25.1122332689,7.3197080526,1.5001060246,0.496393523,0.3678618931,0.032384,0,,0.0003963694,,0,0,,156.8331217332
2018-06-18,78.3027537331,64.188945488,,25.3569126501,14.1501829334,1.7196269122,0.8816585626,0.4607940852,0.0415884,0,,0.0012460762,0,0,0,,185.1037088408
2018-06-19,77.7885111063,51.3901462097,,25.3888238027,10.2179666349,1.7074565338,1.2037553669,0.4753278253,0.0430892,0,,0.0011140138,0,0,0,,168.2161906934
2018-06-20,75.0777404157,56.1467120292,,25.5561615328,9.8601396853,1.7456022029,0.8628338348,0.4147440666,0.0413432,0,,0.0009931513,0,0,0,,169.7062701186
2018-06-21,73.132621709,52.6730766095,,25.098576345,12.6142547205,1.7741090325,0.754952868,0.4914287459,0.0450172,0,,0.0078264184,,0,0,,166.5918636488
2018-06-22,71.9939936112,53.4035317313,,24.9284574126,7.9060563817,1.6687099953,0.698791114,0.3932147068,0.0421084,0.01776,,0.0039101008,0,0,0,,161.0565334537
2018-06-23,69.4587849714,34.4160605659,,24.6432321641,7.8427539687,0.8136976763,0.6449804624,0.3154373947,0.0369156,0.10656,,0.0032765448,,0,0,,138.2816993483
2018-06-24,69.3155033233,34.4525778892,,24.5129973031,7.8649559771,0.797930525,0.6660152702,0.2829300663,0.0336992,0.10656,,0.0004950778,,0,0,,138.033664632
2018-06-25,72.0926836242,53.8366496987,,24.2503704629,7.9092045973,1.6713452945,1.3834045017,0.3856757068,0.0410632,0.10656,,0.0018913962,0,0,0,,161.6788484823
2018-06-26,72.8227631425,53.479172405,,24.200518326,7.8511322738,1.7556120511,1.6141434039,0.3854793101,0.040664,0.10656,,0.0024370409,0,0,0,,162.2584819533
2018-06-27,73.3328450243,53.1775637872,,24.1530169686,8.2462895015,1.7569368577,1.3979482895,0.3681932454,0.0396496,0.10656,,0.0019945893,,0,0,,162.5809978635
2018-06-28,73.6210097931,55.8390519905,,24.3130990348,25.5482424112,1.7796479839,0.7471653535,0.3666735115,0.0385764,0.10656,,0.0015671517,,0,0,,182.3615936302
2018-06-29,69.0368403583,53.0567300202,,24.721627496,23.4579574211,1.759115663,0.3727468298,0.3747168203,0.0404524,0.10656,,0.0020984081,0,0,0,,172.9288454168
2018-06-30,63.2722236156,45.3158146944,,24.9205755298,8.6092762753,1.5939042575,0.1416726705,0.3257375627,0.037988,0.10656,,0.0022494341,,0,0,,144.3260020399
